"","intercept","year_number","after","year_after","loggdp_z","conflict_z","event_id","country","event_date"
"1",0.435681493149401,0.0258714492387092,-0.053306251994329,-0.0258430847909105,-0.0569707413358153,0.0238805192037081,"1","Armenia",2013-01-31
"2",0.410619258262197,-0.00274478920387302,0.0234848310835235,0.00393760562281348,-0.0569707413358153,0.0238805192037081,"2","Bolivia",2016-08-26
"3",0.31130419597582,0.0186154474808285,0.00942533683311102,-0.0395468921856568,-0.0569707413358153,0.0238805192037081,"3","Bulgaria",2013-01-19
"4",0.338186490901197,-0.0412850893811981,0.0501381378397844,0.0353720928010303,-0.0569707413358153,0.0238805192037081,"4","Cambodia",2016-07-10
"5",0.380745915180958,0.00678201028586883,0.00546476387192707,0.00201497068333266,-0.0569707413358153,0.0238805192037081,"5","Canada",2012-09-05
"6",0.202494333795005,-0.0213935577047317,0.0316840972033926,0.0252748722097184,-0.0569707413358153,0.0238805192037081,"6","Sri Lanka",2009-03-10
"7",0.341612241580589,0.0137064978985276,-0.00209951698399937,-0.0135028175778728,-0.0569707413358153,0.0238805192037081,"7","Colombia",2012-05-15
"8",0.288512285036378,0.0286718508629551,-0.0903150358803733,0.0448846100057226,-0.0569707413358153,0.0238805192037081,"8","Guinea",2015-04-05
"9",0.554977904200728,0.0740041879946141,-0.10278225337483,-0.0751022041749706,-0.0569707413358153,0.0238805192037081,"9","Italy",2013-04-28
"10",0.187782402873998,0.0219811655861094,-0.0560537096050862,0.0222492407940059,-0.0569707413358153,0.0238805192037081,"10","Kenya",2015-02-07
"11",0.11566167037625,0.0240539238695246,-0.0544868494902446,0.0423508564935897,-0.0569707413358153,0.0238805192037081,"11","Niger",2014-02-17
"12",0.404526483933808,-0.000889466165814689,-0.0298611515021025,0.000917995621137998,-0.0569707413358153,0.0238805192037081,"12","Spain",2014-05-12
"13",0.191391860836537,0.0121633100414964,-0.0224395692583852,0.0183914408885776,-0.0569707413358153,0.0238805192037081,"13","Tajikistan",2015-03-06
"14",0.430389521555187,0.0218213640175019,-0.0068606766271346,-0.0508434432912956,-0.0569707413358153,0.0238805192037081,"14","Turkey",2015-05-20
"15",0.393608558810564,0.0223056602880125,-0.0464568988237469,-0.00609573422939465,-0.0569707413358153,0.0238805192037081,"15","Uganda",2018-06-08
"16",0.253737892157527,0.037368218587727,-0.0838022544945692,0.0285543898849762,-0.0569707413358153,0.0238805192037081,"16","Zimbabwe",2018-06-23
"17",0.343473942234023,-0.00943881661869409,0.0201200641652684,0.00714423651286939,-0.0569707413358153,0.0238805192037081,"17","US",2017-06-14
"18",0.232111924336993,0.0103499945324949,-0.024883380488817,0.00613070670160693,-0.0569707413358153,0.0238805192037081,"18","Kosovo",2018-01-16
"19",0.323156576396415,0.0134412978669785,-0.0240572398625465,0.00146049122140403,-0.0569707413358153,0.0238805192037081,"19","all",NA
