"","event_id..Intercept.","event_id.year_number","event_id.after","event_id.year_after","event_id.loggdp_z","event_id.conflict_z","event_id","country","event_date"
"1",4.23498821268753,-0.0958132084511626,0.017945754432837,0.13284926345608,0.748248522436581,-0.0280840864187388,"1","Armenia",2013-01-31
"2",5.89557863973964,-0.0749717159144282,-0.0349804496800453,0.0427600985947721,0.748248522436581,-0.0280840864187388,"2","Bolivia",2016-08-26
"3",3.73205214605715,-0.019277836884029,-0.239387310282027,0.377014435026146,0.748248522436581,-0.0280840864187388,"3","Bulgaria",2013-01-19
"4",5.13412302938313,0.264095944208786,-0.0491770653184374,-0.106133623033479,0.748248522436581,-0.0280840864187388,"4","Cambodia",2016-07-10
"5",6.38150848718101,-0.129204055535892,0.162186747154084,0.0518098586103906,0.748248522436581,-0.0280840864187388,"5","Canada",2012-09-05
"6",4.56631312214861,-0.0181638341270391,-0.259676264195017,-0.0592809327703531,0.748248522436581,-0.0280840864187388,"6","Sri Lanka",2009-03-10
"7",6.330408001059,0.0368248000844225,-0.0491989745559725,-0.0387924073904493,0.748248522436581,-0.0280840864187388,"7","Colombia",2012-05-15
"8",4.43434754963757,-0.15599262565798,-0.117568899040772,0.697748472500506,0.748248522436581,-0.0280840864187388,"8","Guinea",2015-04-05
"9",4.73070543748026,-0.239526829261382,0.418158896358114,0.193764884343749,0.748248522436581,-0.0280840864187388,"9","Italy",2013-04-28
"10",5.32373845573128,0.114747142653176,-0.344169599136082,-0.109156093427487,0.748248522436581,-0.0280840864187388,"10","Kenya",2015-02-07
"11",4.76997751390773,-0.455059283713255,0.57756927238507,0.462072405647613,0.748248522436581,-0.0280840864187388,"11","Niger",2014-02-17
"12",5.61358618670749,0.0547765013699444,0.0335767588257269,-0.156433082029741,0.748248522436581,-0.0280840864187388,"12","Spain",2014-05-12
"13",5.7089379748435,0.126386948909579,-0.0989121012638846,0.203024388717991,0.748248522436581,-0.0280840864187388,"13","Tajikistan",2015-03-06
"14",5.01951564603081,0.0878890535621375,-0.182001427848945,-0.0380957798609164,0.748248522436581,-0.0280840864187388,"14","Turkey",2015-05-20
"15",4.94434684090088,-0.105733407509673,0.367747269182446,0.270157007451743,0.748248522436581,-0.0280840864187388,"15","Uganda",2018-06-08
"16",4.04920439167053,-0.176291674369616,-0.139556520704488,0.0329379421577815,0.748248522436581,-0.0280840864187388,"16","Zimbabwe",2018-06-23
"17",5.51370316553691,-0.200687064176814,0.34260553678905,0.14795691600004,0.748248522436581,-0.0280840864187388,"17","US",2017-06-14
"18",6.43925143393464,0.525163760099267,-0.157014379637041,-0.553932895610237,0.748248522436581,-0.0280840864187388,"18","Kosovo",2018-01-16
