"","intercept","year_number","after","year_after","loggdp_z","conflict_z","event_id","country","event_date"
"1",0.496714310548797,0.00266016723212759,0.0432578738543066,0.00792196754929331,0.0443162262692675,-0.0235949857054635,"1","Armenia",2013-01-31
"2",0.771354107404286,-0.0146231370975355,-0.0874308436812688,0.0324506840528865,0.0443162262692675,-0.0235949857054635,"2","Bolivia",2016-08-26
"3",0.564046413234108,-0.00532999900684658,0.00975127827183096,0.0122291382157427,0.0443162262692675,-0.0235949857054635,"3","Bulgaria",2013-01-19
"4",0.870371102804777,0.0237411703939094,-0.0555805440832297,-0.00598670247769726,0.0443162262692675,-0.0235949857054635,"4","Cambodia",2016-07-10
"5",0.762790762922605,-0.0159866017354481,0.015030526975954,0.0130024469065144,0.0443162262692675,-0.0235949857054635,"5","Canada",2012-09-05
"6",0.772550082167118,0.00928565981137315,-0.00409950526611575,0.0141638040084143,0.0443162262692675,-0.0235949857054635,"6","Sri Lanka",2009-03-10
"7",0.795128358437599,-0.0075792817320128,0.0357060423577824,0.00250857216255977,0.0443162262692675,-0.0235949857054635,"7","Colombia",2012-05-15
"8",0.634647192185732,-0.0348977462512846,0.0804317773973611,0.0457596995345826,0.0443162262692675,-0.0235949857054635,"8","Guinea",2015-04-05
"9",0.677620940789849,0.0333237029674901,0.0326745255971792,-0.0740794087723397,0.0443162262692675,-0.0235949857054635,"9","Italy",2013-04-28
"10",0.871579527194671,0.041521135533608,-0.146868589245893,0.00377577603389167,0.0443162262692675,-0.0235949857054635,"10","Kenya",2015-02-07
"11",0.671451207762837,-0.0278359408233938,0.0654221746734522,0.0281068016184851,0.0443162262692675,-0.0235949857054635,"11","Niger",2014-02-17
"12",0.675609786685519,-0.0016522302254678,0.0532280497385496,-0.0483542596893779,0.0443162262692675,-0.0235949857054635,"12","Spain",2014-05-12
"13",0.661813966699872,-0.0210938761757336,0.0531566036771523,-0.0193089600971297,0.0443162262692675,-0.0235949857054635,"13","Tajikistan",2015-03-06
"14",0.498951551886589,-0.0467510220440206,-0.0102015359174188,0.0320381231608805,0.0443162262692675,-0.0235949857054635,"14","Turkey",2015-05-20
"15",0.742292387706651,0.00140705603775769,-0.0107341688428571,0.00291151062934021,0.0443162262692675,-0.0235949857054635,"15","Uganda",2018-06-08
"16",0.867183766537825,0.0384358108127874,-0.124094821885929,-0.038873306278283,0.0443162262692675,-0.0235949857054635,"16","Zimbabwe",2018-06-23
"17",0.782353718786676,-0.0153733117552014,0.0311858094934911,0.00764465167484007,0.0443162262692675,-0.0235949857054635,"17","US",2017-06-14
"18",0.707452517385983,-0.00620487592866551,0.0448779719048241,-0.00889972134216573,0.0443162262692675,-0.0235949857054635,"18","Kosovo",2018-01-16
"19",0.712439538926644,-0.00260851778015159,0.00142847917693321,0.000389489828400896,0.0443162262692675,-0.0235949857054635,"19","all",NA
